nume_actiune,ora
The name of the library was set.,28-4-2021 01:40
All the books in the file have been displayed.,28-4-2021 01:40
All the authors in the file have been displayed,28-4-2021 01:40
All the readers in the file have been displayed,28-4-2021 01:40
All the accounts in the file have been displayed,28-4-2021 01:41
A user entered the program.,28-4-2021 01:41
A book has been added in the file.,28-4-2021 01:42
A book has been deleted.,28-4-2021 01:42
A book was reserved,28-4-2021 01:43
An author has been added.,28-4-2021 01:43
An book was searched.,28-4-2021 01:44
An account was updated.,28-4-2021 01:44
An book was searched.,28-4-2021 01:44
An account has been created.,28-4-2021 06:22
All the accounts in the file have been displayed,28-4-2021 06:23
All the books in the file have been displayed.,28-4-2021 06:27
A book has been deleted.,28-4-2021 06:28
All the books in the file have been displayed.,28-4-2021 06:28
A book has been deleted.,28-4-2021 06:28
All the books in the file have been displayed.,28-4-2021 06:28
All the books in the file have been displayed.,28-4-2021 06:29
A book has been added in the file.,28-4-2021 06:30
All the books in the file have been displayed.,28-4-2021 06:30
A book has been deleted.,28-4-2021 06:30
All the books in the file have been displayed.,28-4-2021 06:30
A book has been deleted.,28-4-2021 06:31
All the books in the file have been displayed.,28-4-2021 06:31
All the books in the file have been displayed.,28-4-2021 08:05
All the authors in the file have been displayed,28-4-2021 08:05
All the readers in the file have been displayed,28-4-2021 08:05
All the accounts in the file have been displayed,28-4-2021 08:05
All the authors in the file have been displayed,28-4-2021 08:07
All the readers in the file have been displayed,28-4-2021 08:11
All the books in the file have been displayed.,28-4-2021 08:11
All the readers in the file have been displayed,28-4-2021 08:11
All the accounts in the file have been displayed,28-4-2021 08:11
All the accounts in the file have been displayed,28-4-2021 08:16
An account has been created.,28-4-2021 08:21
An account has been created.,30-4-2021 01:52
All the accounts in the file have been displayed,30-4-2021 01:52
A book has been added in the file.,30-4-2021 01:52
All the books in the file have been displayed.,30-4-2021 01:53
All the authors in the file have been displayed,30-4-2021 01:53
All the readers in the file have been displayed,30-4-2021 01:53
All the accounts in the file have been displayed,30-4-2021 01:53
An account has been created.,30-4-2021 01:54
An account has been created.,03-5-2021 01:27
All the books in the file have been displayed.,03-5-2021 01:27
All the authors in the file have been displayed,03-5-2021 01:27
All the readers in the file have been displayed,03-5-2021 01:27
All the accounts in the file have been displayed,03-5-2021 01:27
A user entered the program.,03-5-2021 01:27
All the accounts in the file have been displayed,03-5-2021 02:14
An account has been created.,03-5-2021 02:16
A user entered the program.,03-5-2021 02:16
All the accounts in the file have been displayed,03-5-2021 02:16
All the accounts in the file have been displayed,03-5-2021 02:17
